city;federal_district;region_fo;id
Ершов;Приволжский;Саратовская обл;2f0ecdcb-c844-4de9-80cc-6d19795ccb3a
Ессентуки;Северо-Кавказский;Ставропольский край;0ca8280c-89cb-4c81-8a99-ae10a98416bc
Ефремов;Центральный;Тульская обл;a6fad096-bd8a-49b8-ad26-78d892c208fd
Железноводск;Северо-Кавказский;Ставропольский край;f231a6e9-5631-44a6-80bf-585e9491165e
Железногорск;Сибирский;Красноярский край;e532b3c3-d300-4585-ada6-40e7900c2abf
Железногорск-Илимский;Сибирский;Иркутская обл;31ba5d12-ae5b-4cc0-8892-2a504423ee61
Жердевка;Центральный;Тамбовская обл;97034a8c-c36f-4e7b-880b-436ce8fec1be
Жигулевск;Приволжский;Самарская обл;2f44f8ee-a505-46bf-b6de-6648a166295e
Жиздра;Центральный;Калужская обл;2073f6df-cf12-455f-818d-cedea8f783fa
Жирновск;Южный;Волгоградская обл;1f9bda6f-45a5-4bf5-b1d8-434d763ea834
Жуков;Центральный;Калужская обл;53f014ee-1074-4f90-b948-9e5219e24b9b
Жуковка;Центральный;Брянская обл;bd51e883-748a-4c55-ac0a-eee31be1433e
Жуковский;Центральный;Московская обл;fd91f393-4820-437f-a50c-907e9856c374
